fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,total_acidity,acidity_ratio,free_sulfur_ratio,sulfur_dioxide_diff,sugar_alcohol_ratio,sweetness_index,mineral_content,ph_acidity_interaction,wine_body,quality_class
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,8.98,30.74074,0.40726,16.0,0.21254,1.812,0.88,28.8258,9.37556,1
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,8.98,30.74074,0.40726,16.0,0.21254,1.812,0.88,28.8258,9.37556,1
7.7,0.51,0.28,2.1,0.087,23.0,54.0,0.998,3.42,0.74,9.2,8.49,14.80769,0.42585,31.0,0.22801,1.9068,0.827,29.0358,9.1816,1
7.4,0.63,0.07,2.4,0.09,11.0,37.0,0.9979,3.43,0.76,9.7,8.1,11.5625,0.29722,26.0,0.24717,2.1672,0.85,27.783,9.67963,1
7.8,0.54,0.26,2.0,0.088,23.0,48.0,0.9981,3.41,0.74,9.2,8.6,14.18182,0.47907,25.0,0.21716,1.816,0.828,29.326,9.18252,1
8.3,0.66,0.15,1.9,0.079,17.0,42.0,0.9972,3.31,0.54,9.6,9.11,12.38806,0.40467,25.0,0.19771,1.7176,0.619,30.1541,9.57312,1
7.8,0.46,0.26,1.9,0.088,23.0,53.0,0.9981,3.43,0.74,9.2,8.52,16.59574,0.43388,30.0,0.2063,1.7252,0.828,29.2236,9.18252,1
9.6,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7,10.0,10.29,24.61538,0.32646,33.0,0.24975,2.25,0.796,32.8251,9.982,2
5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,6.5,6.51163,0.13635,76.0,0.10844,1.2194,0.865,23.14,12.80196,2
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,14.795,32.23529,0.39526,26.0,0.28971,2.61,0.885,45.2727,10.014,1
9.5,0.37,0.52,2.0,0.082,6.0,26.0,0.998,3.18,0.51,9.5,10.39,25.0,0.23068,20.0,0.2103,1.81,0.592,33.0402,9.481,1
8.4,0.665,0.61,2.0,0.112,13.0,95.0,0.997,3.16,0.54,9.1,9.675,12.44444,0.13683,82.0,0.21954,1.818,0.652,30.573,9.0727,1
12.7,0.6,0.65,2.3,0.063,6.0,25.0,0.9997,3.03,0.57,9.9,13.95,20.81967,0.2399,19.0,0.23209,2.0723,0.633,42.2685,9.89703,1
12.0,0.37,0.76,4.2,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,13.13,31.57895,0.18416,31.0,0.32283,3.654,0.666,42.2786,13.0052,2
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,7.355,8.85906,0.54834,56.0,0.79717,7.1179,0.652,25.52185,9.89406,1
11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,12.68,19.16667,0.26525,36.0,0.23615,2.314,0.737,40.3224,10.9868,1
11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,12.68,19.16667,0.26525,36.0,0.23615,2.314,0.737,40.3224,10.9868,1
8.7,0.765,0.22,2.3,0.064,9.0,42.0,0.9963,3.1,0.55,9.4,9.685,11.22581,0.21423,33.0,0.24442,2.0838,0.614,30.0235,9.36522,1
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,7.355,8.85906,0.54834,56.0,0.79717,7.1179,0.652,25.52185,9.89406,1
7.7,0.26,0.3,1.7,0.059,20.0,38.0,0.9949,3.29,0.47,10.8,8.26,28.51852,0.52618,18.0,0.15726,1.5164,0.529,27.1754,10.74492,1
12.2,0.48,0.54,2.6,0.085,19.0,64.0,1.0,3.1,0.61,10.5,13.22,24.89796,0.29683,45.0,0.24738,2.327,0.695,40.982,10.5,1
11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.63,10.5,12.49,18.68852,0.24384,31.0,0.2569,2.4165,0.715,39.3435,10.4937,1
7.7,0.69,0.05,2.7,0.075,15.0,27.0,0.9974,3.26,0.61,9.1,8.44,11.0,0.55535,12.0,0.29638,2.4543,0.685,27.5144,9.07634,1
8.7,0.31,0.46,1.4,0.059,11.0,25.0,0.9966,3.36,0.76,10.1,9.47,27.1875,0.43982,14.0,0.13848,1.2586,0.819,31.8192,10.06566,1
9.8,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,10.71,21.77778,0.32131,19.0,0.23127,2.23,0.713,34.7004,10.77948,1
12.0,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,13.05,30.0,0.39987,18.0,0.27752,2.676,0.723,41.499,10.79568,2
10.4,0.34,0.58,3.7,0.174,6.0,16.0,0.997,3.19,0.7,11.3,11.32,29.71429,0.37477,10.0,0.32714,3.2819,0.874,36.1108,11.2661,1
12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,13.45,26.59574,0.5305,23.0,0.46826,4.068,0.64,41.0225,9.58176,0
9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,9.77,20.45455,0.30229,60.0,0.26288,2.2625,0.7,33.0226,9.48765,1
9.1,0.45,0.35,2.4,0.08,23.0,78.0,0.9987,3.38,0.62,9.5,9.9,19.78261,0.29483,55.0,0.25237,2.172,0.7,33.462,9.48765,1
7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,7.995,9.5302,0.19478,62.0,0.20408,1.7233,0.74,26.14365,9.26838,1
9.9,0.4,0.53,6.7,0.097,6.0,19.0,0.9986,3.27,0.82,11.7,10.83,24.14634,0.31562,13.0,0.57216,5.9161,0.917,35.4141,11.68362,2
8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,9.66,16.60377,0.19671,98.0,0.28391,2.4435,0.697,31.4916,9.4829,1
8.6,0.725,0.24,6.6,0.117,31.0,134.0,1.0014,3.32,1.07,9.3,9.565,11.70068,0.23133,103.0,0.70892,5.9862,1.187,31.7558,9.31302,1
10.6,0.48,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,11.72,21.63265,0.29985,14.0,0.18787,1.9426,0.771,38.2072,11.6649,1
7.0,0.58,0.12,1.9,0.091,34.0,124.0,0.9956,3.44,0.48,10.5,7.7,11.86441,0.27417,90.0,0.18078,1.7005,0.571,26.488,10.4538,1
11.9,0.38,0.51,2.0,0.121,7.0,20.0,0.9996,3.24,0.76,10.4,12.79,30.51282,0.34983,13.0,0.19212,1.792,0.881,41.4396,10.39584,1
6.8,0.77,0.0,1.8,0.066,34.0,52.0,0.9976,3.62,0.68,9.9,7.57,8.71795,0.65372,18.0,0.18163,1.6218,0.746,27.4034,9.87624,1
9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73,11.8,10.39,16.66667,0.52231,32.0,0.20322,2.1168,0.819,34.0792,11.76696,2
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7.47,7.76471,0.66653,16.0,0.18684,2.0171,0.619,26.2944,12.24096,2
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,8.86,7.93814,0.24996,45.0,0.18332,1.782,0.487,29.7696,10.85095,1
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,11.21,42.0,0.2499,18.0,0.19074,1.869,0.966,35.3115,10.9758,2
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,8.86,7.93814,0.24996,45.0,0.18332,1.782,0.487,29.7696,10.85095,1
6.6,0.84,0.03,2.3,0.059,32.0,48.0,0.9952,3.52,0.56,12.3,7.47,7.76471,0.66653,16.0,0.18684,2.0171,0.619,26.2944,12.24096,2
6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49,11.4,7.15,9.41176,0.39575,29.0,0.18405,1.8606,0.535,24.9535,11.34186,1
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,10.5,12.02532,0.18744,26.0,0.17908,1.6986,0.637,34.23,10.58728,1
9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,3.24,0.6,9.3,9.95,17.16981,0.2999,21.0,0.13963,1.1791,0.67,32.238,9.27954,1
12.8,0.84,0.63,2.4,0.088,13.0,35.0,0.9997,3.1,0.6,10.4,14.27,15.05882,0.37132,22.0,0.23055,2.1504,0.688,44.237,10.39688,1
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,11.21,42.0,0.2499,18.0,0.19074,1.869,0.966,35.3115,10.9758,2
7.8,0.55,0.35,2.2,0.074,21.0,66.0,0.9974,3.25,0.56,9.2,8.7,13.92857,0.31813,45.0,0.23887,1.9976,0.634,28.275,9.17608,1
11.9,0.37,0.69,2.3,0.078,12.0,24.0,0.9958,3.0,0.65,12.8,12.96,31.31579,0.49979,12.0,0.17955,2.0056,0.728,38.88,12.74624,1
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,13.32,30.75,0.33315,12.0,0.24185,2.0815,0.581,42.0912,9.5038,1
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,11.36,24.7619,0.40733,32.0,0.32291,2.8832,0.966,35.784,9.89604,1
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,13.32,30.75,0.33315,12.0,0.24185,2.0815,0.581,42.0912,9.5038,1
8.0,0.67,0.3,2.0,0.06,38.0,62.0,0.9958,3.26,0.56,10.2,8.97,11.76471,0.6128,24.0,0.19589,1.796,0.62,29.2422,10.15716,1
11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,12.28,24.13043,0.2726,16.0,0.28546,2.8416,0.726,38.9276,11.18432,1
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,11.36,24.7619,0.40733,32.0,0.32291,2.8832,0.966,35.784,9.89604,1
7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3,7.8,11.11111,0.13997,43.0,0.16112,1.3605,0.662,24.024,9.25443,1
12.6,0.31,0.72,2.2,0.072,6.0,29.0,0.9987,2.88,0.82,9.8,13.63,39.375,0.20683,23.0,0.22426,1.9844,0.892,39.2544,9.78726,2
11.9,0.4,0.65,2.15,0.068,7.0,27.0,0.9988,3.06,0.68,11.3,12.95,29.02439,0.25916,20.0,0.1901,1.90705,0.748,39.627,11.28644,1
15.6,0.685,0.76,3.7,0.1,6.0,43.0,1.0032,2.95,0.68,11.2,17.045,22.44604,0.1395,37.0,0.33006,3.2856,0.78,50.28275,11.23584,2
10.0,0.44,0.49,2.7,0.077,11.0,19.0,0.9963,3.23,0.63,11.6,10.93,22.22222,0.57864,8.0,0.23256,2.3868,0.707,35.3039,11.55708,2
5.3,0.57,0.01,1.7,0.054,5.0,27.0,0.9934,3.57,0.84,12.5,5.88,9.13793,0.18512,22.0,0.13589,1.4875,0.894,20.9916,12.4175,2
9.5,0.735,0.1,2.1,0.079,6.0,31.0,0.9986,3.23,0.56,10.1,10.335,12.75168,0.19349,25.0,0.20772,1.8879,0.639,33.38205,10.08586,1
12.5,0.38,0.6,2.6,0.081,31.0,72.0,0.9996,3.1,0.73,10.5,13.48,32.05128,0.4305,41.0,0.24738,2.327,0.811,41.788,10.4958,1
9.3,0.48,0.29,2.1,0.127,6.0,16.0,0.9968,3.22,0.72,11.2,10.07,18.97959,0.37477,10.0,0.18733,1.8648,0.847,32.4254,11.16416,1
8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,9.35,15.92593,0.25916,20.0,0.19589,1.796,0.66,29.92,10.16634,1
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,12.98,29.75,0.48558,18.0,0.25902,2.4976,0.705,40.238,10.79352,1
11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,12.98,29.75,0.48558,18.0,0.25902,2.4976,0.705,40.238,10.79352,1
8.4,0.37,0.53,1.8,0.413,9.0,26.0,0.9979,3.06,1.06,9.1,9.3,22.10526,0.34602,17.0,0.19759,1.6362,1.473,28.458,9.08089,1
6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,3.44,0.63,10.0,7.39,11.92982,0.51414,17.0,0.16983,1.53,0.714,25.4216,9.968,1
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,11.36,30.58824,0.22717,17.0,0.24978,2.4864,0.824,37.0336,11.19776,2
7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1,7.63,29.16667,0.31339,46.0,0.14401,1.4224,0.693,26.705,11.04672,1
11.3,0.62,0.67,5.2,0.086,6.0,19.0,0.9988,3.22,0.69,13.4,12.59,17.93651,0.31562,13.0,0.38777,4.5032,0.776,40.5398,13.38392,2
8.9,0.59,0.39,2.3,0.095,5.0,22.0,0.9986,3.37,0.58,10.3,9.88,14.83333,0.22717,17.0,0.22308,2.0631,0.675,33.2956,10.28558,1
9.2,0.63,0.21,2.7,0.097,29.0,65.0,0.9988,3.28,0.58,9.6,10.04,14.375,0.44609,36.0,0.28096,2.4408,0.677,32.9312,9.58848,1
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,11.36,30.58824,0.22717,17.0,0.24978,2.4864,0.824,37.0336,11.19776,2
11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,12.84,19.66102,0.21272,37.0,0.24417,2.002,0.644,41.73,9.0072,0
9.2,0.43,0.52,2.3,0.083,14.0,23.0,0.9976,3.35,0.61,11.3,10.15,20.90909,0.60843,9.0,0.20336,2.0401,0.693,34.0025,11.27288,1
8.3,0.615,0.22,2.6,0.087,6.0,19.0,0.9982,3.26,0.61,9.3,9.135,13.28,0.31562,13.0,0.27927,2.3582,0.697,29.7801,9.28326,1
11.0,0.26,0.68,2.55,0.085,10.0,25.0,0.997,3.18,0.61,11.8,11.94,40.74074,0.39984,15.0,0.21592,2.2491,0.695,37.9692,11.7646,1
8.1,0.66,0.7,2.2,0.098,25.0,129.0,0.9972,3.08,0.53,9.0,9.46,12.08955,0.19378,104.0,0.24417,2.002,0.628,29.1368,8.9748,1
11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,12.355,35.38462,0.33311,10.0,0.22801,1.9068,0.784,36.8179,9.18804,1
10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0006,3.48,0.91,9.7,10.69,33.33333,0.38447,16.0,0.29866,2.6187,1.008,37.2012,9.70582,1
10.3,0.5,0.42,2.0,0.069,21.0,51.0,0.9982,3.16,0.72,11.5,11.22,20.19608,0.41168,30.0,0.17376,1.77,0.789,35.4552,11.4793,1
8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,14.0,9.71,18.7234,0.38867,11.0,0.18558,2.236,0.855,32.2372,13.9258,1
11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,3.17,0.62,9.2,12.45,30.81081,0.28558,15.0,0.22801,1.9068,0.71,39.4665,9.2,1
8.7,0.82,0.02,1.2,0.07,36.0,48.0,0.9952,3.2,0.58,9.8,9.54,10.48193,0.74984,12.0,0.12232,1.0824,0.65,30.528,9.75296,1
13.0,0.32,0.65,2.6,0.093,15.0,47.0,0.9996,3.05,0.61,10.6,13.97,39.39394,0.31908,32.0,0.24505,2.3244,0.703,42.6085,10.59576,1
9.6,0.54,0.42,2.4,0.081,25.0,52.0,0.997,3.2,0.71,11.4,10.56,17.45455,0.48068,27.0,0.21034,2.1264,0.791,33.792,11.3658,1
12.5,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,13.42,32.89474,0.36759,43.0,0.24976,2.3296,0.903,42.273,10.3948,1
9.9,0.35,0.55,2.1,0.062,5.0,14.0,0.9971,3.26,0.79,10.6,10.8,27.5,0.35689,9.0,0.19793,1.8774,0.852,35.208,10.56926,1
10.5,0.28,0.51,1.7,0.08,10.0,24.0,0.9982,3.2,0.89,9.4,11.29,36.2069,0.41649,14.0,0.18066,1.5402,0.97,36.128,9.38308,1
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,10.52,13.91304,0.17851,23.0,0.21548,1.9756,0.687,33.0328,10.18776,1
9.3,0.27,0.41,2.0,0.091,6.0,16.0,0.998,3.28,0.7,9.7,9.98,33.21429,0.37477,10.0,0.20597,1.806,0.791,32.7344,9.6806,1
10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,3.18,1.06,11.0,11.13,41.6,0.29985,14.0,0.16349,1.602,1.135,35.3934,10.9747,1
9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,10.52,13.91304,0.17851,23.0,0.21548,1.9756,0.687,33.0328,10.18776,1
9.4,0.685,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,10.195,13.52518,0.19349,25.0,0.26706,2.4273,0.777,32.52205,10.08384,1
10.6,0.28,0.39,15.5,0.069,6.0,23.0,1.0026,3.12,0.66,9.2,11.27,36.55172,0.26076,17.0,1.68295,14.074,0.729,35.1624,9.22392,1
9.4,0.3,0.56,2.8,0.08,6.0,17.0,0.9964,3.15,0.92,11.7,10.26,30.32258,0.35273,11.0,0.23911,2.4724,1.0,32.319,11.65788,2
10.6,0.36,0.59,2.2,0.152,6.0,18.0,0.9986,3.04,1.05,9.4,11.55,28.64865,0.33315,12.0,0.23379,1.9932,1.202,35.112,9.38684,1
10.6,0.36,0.6,2.2,0.152,7.0,18.0,0.9986,3.04,1.06,9.4,11.56,28.64865,0.38867,11.0,0.23379,1.9932,1.212,35.1424,9.38684,1
10.6,0.44,0.68,4.1,0.114,6.0,24.0,0.997,3.06,0.66,13.4,11.72,23.55556,0.2499,18.0,0.30574,3.5506,0.774,35.8632,13.3598,1
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,11.26,15.0,0.35273,11.0,0.18981,1.71,0.524,35.6942,9.976,1
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,11.26,15.0,0.35273,11.0,0.18981,1.71,0.524,35.6942,9.976,1
10.2,0.645,0.36,1.8,0.053,5.0,14.0,0.9982,3.17,0.42,10.0,11.205,15.57252,0.35689,9.0,0.17982,1.62,0.473,35.51985,9.982,1
11.6,0.32,0.55,2.8,0.081,35.0,67.0,1.0002,3.32,0.92,10.8,12.47,35.15152,0.52231,32.0,0.25902,2.4976,1.001,41.4004,10.80216,2
9.3,0.39,0.4,2.6,0.073,10.0,26.0,0.9984,3.34,0.75,10.2,10.09,23.25,0.38447,16.0,0.25465,2.3348,0.823,33.7006,10.18368,1
9.3,0.775,0.27,2.8,0.078,24.0,56.0,0.9984,3.31,0.67,10.6,10.345,11.84713,0.42849,32.0,0.2639,2.5032,0.748,34.24195,10.58304,1
9.2,0.41,0.5,2.5,0.055,12.0,25.0,0.9952,3.34,0.79,13.3,10.11,21.90476,0.47981,13.0,0.18783,2.1675,0.845,33.7674,13.23616,2
8.9,0.4,0.51,2.6,0.052,13.0,27.0,0.995,3.32,0.9,13.4,9.81,21.70732,0.4813,14.0,0.19389,2.2516,0.952,32.5692,13.333,2
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,9.7,12.42857,0.28392,58.0,0.2584,2.652,0.826,33.756,11.60232,1
6.5,0.39,0.23,8.3,0.051,28.0,91.0,0.9952,3.44,0.55,12.1,7.12,16.25,0.30766,63.0,0.68538,7.2957,0.601,24.4928,12.04192,1
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,11.58,29.72222,0.3123,11.0,0.23615,2.314,0.72,36.477,10.9692,2
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,8.57,14.71698,0.36832,24.0,0.21088,1.729,0.731,29.3951,8.9856,1
7.2,0.34,0.32,2.5,0.09,43.0,113.0,0.9966,3.32,0.79,11.1,7.86,20.57143,0.3805,70.0,0.22502,2.2225,0.88,26.0952,11.06226,1
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,11.58,29.72222,0.3123,11.0,0.23615,2.314,0.72,36.477,10.9692,2
8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,9.7,12.42857,0.28392,58.0,0.2584,2.652,0.826,33.756,11.60232,1
7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,8.57,14.71698,0.36832,24.0,0.21088,1.729,0.731,29.3951,8.9856,1
10.4,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,11.57,23.11111,0.49993,38.0,0.54538,5.764,0.924,36.6769,11.988,2
10.4,0.44,0.73,6.55,0.074,38.0,76.0,0.999,3.17,0.85,12.0,11.57,23.11111,0.49993,38.0,0.54538,5.764,0.924,36.6769,11.988,2
10.5,0.26,0.47,1.9,0.078,6.0,24.0,0.9976,3.18,1.04,10.9,11.23,38.88889,0.2499,18.0,0.17415,1.6929,1.118,35.7114,10.87384,2
10.5,0.24,0.42,1.8,0.077,6.0,22.0,0.9976,3.21,1.05,10.8,11.16,42.0,0.2726,16.0,0.16651,1.6056,1.127,35.8236,10.77408,2
10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5,11.32,20.4,0.38447,16.0,0.23181,2.5375,0.852,35.7712,12.46,2
10.4,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,1.02,10.8,11.1,41.6,0.28558,15.0,0.16651,1.6056,1.095,36.075,10.77408,2
11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,12.42,16.47059,0.46118,7.0,0.24185,2.0815,0.794,39.3714,9.5,1
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,10.9,16.66667,0.41929,36.0,0.21548,1.9756,0.72,34.662,10.19388,1
13.3,0.29,0.75,2.8,0.084,23.0,43.0,0.9986,3.04,0.68,11.4,14.34,44.33333,0.53476,20.0,0.2454,2.4808,0.764,43.5936,11.38404,2
12.4,0.42,0.49,4.6,0.073,19.0,43.0,0.9978,3.02,0.61,9.5,13.31,28.83721,0.44176,24.0,0.4837,4.163,0.683,40.1962,9.4791,1
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,10.9,16.66667,0.41929,36.0,0.21548,1.9756,0.72,34.662,10.19388,1
10.7,0.4,0.48,2.1,0.125,15.0,49.0,0.998,3.03,0.81,9.7,11.58,26.09756,0.30606,34.0,0.21627,1.8963,0.935,35.0874,9.6806,1
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,11.65,20.19231,0.39973,9.0,0.20322,2.1168,0.767,35.9985,11.76814,2
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,11.65,20.19231,0.39973,9.0,0.20322,2.1168,0.767,35.9985,11.76814,2
8.5,0.655,0.49,6.1,0.122,34.0,151.0,1.001,3.31,1.14,9.3,9.645,12.78195,0.22515,117.0,0.65521,5.5327,1.262,31.92495,9.3093,1
12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,13.59,20.4918,0.35689,9.0,0.36104,3.7883,0.84,44.1675,11.9119,1
10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,11.5,16.77419,0.3123,11.0,0.2497,1.9236,0.83,36.34,8.39496,0
10.9,0.21,0.49,2.8,0.088,11.0,32.0,0.9972,3.22,0.68,11.7,11.6,49.54545,0.34364,21.0,0.23911,2.4724,0.768,37.352,11.66724,1
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,8.155,19.46667,0.36789,67.0,0.22707,2.225,0.868,27.4008,10.9626,1
9.8,0.25,0.49,2.7,0.088,15.0,33.0,0.9982,3.42,0.9,10.0,10.54,37.69231,0.45441,18.0,0.26973,2.43,0.988,36.0468,9.982,1
7.6,0.41,0.49,2.0,0.088,16.0,43.0,0.998,3.48,0.64,9.1,8.5,18.09524,0.37201,27.0,0.21954,1.818,0.728,29.58,9.0818,1
8.2,0.39,0.49,2.3,0.099,47.0,133.0,0.9979,3.38,0.99,9.8,9.08,20.5,0.35336,86.0,0.23445,2.0746,1.089,30.6904,9.77942,1
9.3,0.4,0.49,2.5,0.085,38.0,142.0,0.9978,3.22,0.55,9.4,10.19,22.68293,0.26759,104.0,0.26567,2.265,0.635,32.8118,9.37932,1
9.2,0.43,0.49,2.4,0.086,23.0,116.0,0.9976,3.23,0.64,9.5,10.12,20.90909,0.19826,93.0,0.25237,2.172,0.726,32.6876,9.4772,1
10.4,0.64,0.24,2.8,0.105,29.0,53.0,0.9998,3.24,0.67,9.9,11.28,16.0,0.54707,24.0,0.28254,2.5228,0.775,36.5472,9.89802,1
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,8.155,19.46667,0.36789,67.0,0.22707,2.225,0.868,27.4008,10.9626,1
7.0,0.38,0.49,2.5,0.097,33.0,85.0,0.9962,3.39,0.77,11.4,7.87,17.94872,0.38819,52.0,0.21911,2.215,0.867,26.6793,11.35668,1
8.2,0.42,0.49,2.6,0.084,32.0,55.0,0.9988,3.34,0.75,8.7,9.11,19.06977,0.58171,23.0,0.29851,2.3738,0.834,30.4274,8.68956,1
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,10.77,15.46875,0.18176,27.0,0.25505,2.1744,0.647,33.2793,9.37556,1
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,9.56,39.56522,0.0357,27.0,0.20369,1.8837,0.948,32.5996,10.2897,1
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,12.77,30.51282,0.28565,30.0,0.26188,2.4219,0.708,40.3532,10.30412,1
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,12.77,30.51282,0.28565,30.0,0.26188,2.4219,0.708,40.3532,10.30412,1
10.3,0.27,0.24,2.1,0.072,15.0,33.0,0.9956,3.22,0.66,12.8,10.81,36.78571,0.45441,18.0,0.16393,1.8312,0.732,34.8082,12.74368,1
10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,10.72,20.40816,0.40612,19.0,0.26973,2.43,0.662,35.1616,10.0,1
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,9.56,39.56522,0.0357,27.0,0.20369,1.8837,0.948,32.5996,10.2897,1
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,10.77,15.46875,0.18176,27.0,0.25505,2.1744,0.647,33.2793,9.37556,1
8.1,0.825,0.24,2.1,0.084,5.0,13.0,0.9972,3.37,0.77,10.7,9.165,9.7006,0.38432,8.0,0.19608,1.8753,0.854,30.88605,10.67004,1
12.9,0.35,0.49,5.8,0.066,5.0,35.0,1.0014,3.2,0.66,12.0,13.74,35.83333,0.14282,30.0,0.48293,5.104,0.726,43.968,12.0168,2
